name,country,alpha_two_code,domains,web_pages
Brexgata University Academy,Belgium,BE,brexgata.eu,http://www.brexgata.eu/
European Carolus Magnus University,Belgium,BE,carolus-magnus-university.eu,http://www.carolus-magnus-university.eu/
College of Europe,Belgium,BE,coleurope.eu,http://www.coleurope.eu/
Continental Theological Seminary,Belgium,BE,ctsem.edu,http://www.ctsem.edu/
ECAM - Institut Supérieur Industriel,Belgium,BE,ecam.be,http://www.ecam.be/
Erasmushogeschool Brussel,Belgium,BE,ehb.be,http://www.ehb.be/
EHSAL - Europese Hogeschool Brussel,Belgium,BE,ehsal.be,http://www.ehsal.be/
"Evangelische Theologische Faculteit, Leuven",Belgium,BE,etf.edu,http://www.etf.edu/
European International University,Belgium,BE,europeaniu.org,http://www.europeaniu.org/
Faculté Polytechnique de Mons,Belgium,BE,fpms.ac.be,http://www.fpms.ac.be/
Faculté Universitaire des Sciences Agronomiques de Gembloux,Belgium,BE,fsagx.ac.be,http://www.fsagx.ac.be/
Facultés Universitaires Catholiques de Mons,Belgium,BE,fucam.ac.be,http://www.fucam.ac.be/
Fondation Universitaire Luxembourgeoise,Belgium,BE,ful.ac.be,http://www.ful.ac.be/
Facultés Universitaires Notre-Dame de la Paix,Belgium,BE,fundp.ac.be,http://www.fundp.ac.be/
Facultés Universitaires Saint-Louis,Belgium,BE,fusl.ac.be,http://www.fusl.ac.be/
Hogeschool Antwerpen,Belgium,BE,ha.be,http://www.ha.be/
Hogeschool West-Vlaanderen (TU),Belgium,BE,howest.be,http://www.howest.be/
Hogere Zeevaartschool - Maritime Academy,Belgium,BE,hzs.be,http://www.hzs.be/
Brussels Management School (ICHEC),Belgium,BE,ichec.be,http://www.ichec.be/
Karel De Grote Hogeschool,Belgium,BE,kdg.be,http://www.kdg.be/
Katholieke Hogeschool Kempen,Belgium,BE,khk.be,http://www.khk.be/
Katholieke Hogeschool Leuven,Belgium,BE,khleuven.be,http://www.khleuven.be/
Katholieke Hogeschool Limburg,Belgium,BE,khlim.be,http://www.khlim.be/
Katholieke Universiteit Brussel,Belgium,BE,kubrussel.ac.be,http://www.kubrussel.ac.be/
"Katholieke Universiteit Leuven, Campus Kortrijk",Belgium,BE,kulak.kuleuven.be,https://kulak.kuleuven.be/
Katholieke Universiteit Leuven,Belgium,BE,kuleuven.be,"https://www.kuleuven.be/kuleuven/, https://www.kuleuven.be/english/kuleuven/"
Royal Military Academy,Belgium,BE,rma.ac.be,http://www.rma.ac.be/
Universiteit Gent,Belgium,BE,"ugent.be, rug.ac.be","https://www.ugent.be/, http://www.rug.ac.be/"
Thierry Graduate School of Leadership,Belgium,BE,thierryschool.org,http://www.thierryschool.org/
Universiteit Antwerpen,Belgium,BE,"ua.ac.be, uantwerpen.be",http://www.ua.ac.be/
Universiteit Antwerpen Management School,Belgium,BE,uams.be,http://www.uams.be/
United Business Institute,Belgium,BE,ubi.edu,http://www.ubi.edu/
Université Catholique de Louvain,Belgium,BE,ucl.ac.be,http://www.ucl.ac.be/
"Universiteit Antwerpen, UFSIA",Belgium,BE,ufsia.ac.be,http://www.ufsia.ac.be/
Hasselt University,Belgium,BE,uhasselt.be,http://www.uhasselt.be/
Université Libre de Bruxelles,Belgium,BE,"ulb.be, ulb.ac.be",https://www.ulb.be/
Université de Mons-Hainaut,Belgium,BE,umh.ac.be,http://www.umh.ac.be/
Vesalius College,Belgium,BE,vesalius.edu,http://www.vesalius.edu/
"Hogeschool voor Wetenschap en Kunst (VLEKHO), Brussel",Belgium,BE,vlekho.be,http://www.vlekho.be/
Vlerick Leuven Gent Management School,Belgium,BE,vlerick.be,http://www.vlerick.be/
Vrije Universiteit Brussel,Belgium,BE,"vub.ac.be, vub.be",http://www.vub.ac.be/
Hogeschool voor Wetenschap & Kunst,Belgium,BE,wenk.be,http://www.wenk.be/
University College Odisee,Belgium,BE,odisee.be,https://www.odisee.be/
Hogeschool Gent,Belgium,BE,hogent.be,https://www.hogent.be/
Thomas More Hogeschool,Belgium,BE,thomasmore.be,https://www.thomasmore.be/
University of Liège,Belgium,BE,"student.uliege.be, helpnet.uliege.be, ddi.uliege.be, uliege.be",https://uliege.be
Louvain School of Management,Belgium,BE,uclouvain.be,https://uclouvain.be/en/faculties/lsm
Solvay Brussels School Economics & Management,Belgium,BE,exed.solvay.edu,https://exed.solvay.edu/fr/
Vlerick Brussels Campus,Belgium,BE,vlerick.com,https://www.vlerick.com/en/about-vlerick/our-campuses/brussels-campus/
Howest University of Applied Sciences,Belgium,BE,howest.be,https://www.howest.be/
KU Leuven,Belgium,BE,student.kuleuven.be,https://www.kuleuven.be/kuleuven/
